TS,open,close,high,low,EMA
2023-05-04 18:00:00,1875.979748793,1871.96244476,1876.7313482702,1870.3706394364,1871.96244476
2023-05-04 19:00:00,1872.0687763418,1875.917880859,1875.917880859,1869.0165488903,1872.4898362398667
2023-05-04 20:00:00,1875.7284596343,1877.3639964023,1877.6779676696,1875.7284596343,1873.1397242615244
2023-05-04 21:00:00,1877.5720857226,1875.3188273077,1877.9007182547,1873.5256400998,1873.430271334348
2023-05-04 22:00:00,1875.4647800557,1872.4612991063,1875.4647800557,1871.1992756971,1873.3010750372748
2023-05-04 23:00:00,1871.7800450155,1875.8833246727,1875.8833246727,1871.7800450155,1873.6453749886648
2023-05-05 00:00:00,1876.5328126135,1879.7876538503,1879.9975596314,1875.8820238586,1874.4643455035496
2023-05-05 01:00:00,1879.1918634421,1898.6547289099,1900.626854341,1879.1918634421,1877.6897299577297
2023-05-05 02:00:00,1898.8344854388,1899.957718666,1906.858070378,1893.8200090284,1880.6587951188326
2023-05-05 03:00:00,1899.957718666,1896.0933119782,1900.4843508061,1896.0933119782,1882.7167307000816
2023-05-05 04:00:00,1896.2106124255,1898.5344379221,1899.1405559123,1896.2106124255,1884.825758329684
2023-05-05 05:00:00,1898.6442165243,1897.3634563379,1898.6442165243,1895.9996953875,1886.4974513974464
2023-05-05 06:00:00,1897.3636814602,1898.5894018074,1899.0978538264,1897.3636814602,1888.1097114521071
2023-05-05 07:00:00,1898.5894018074,1895.6323411032,1906.6723784196,1895.6323411032,1889.1127287389195
2023-05-05 08:00:00,1895.7704980668,1898.0800808402,1898.6383215286,1895.7704980668,1890.3083756857568
2023-05-05 09:00:00,1898.0800808402,1900.6129222144,1904.0932368776,1897.9281791971,1891.6823152229094
2023-05-05 10:00:00,1900.7731392948,1902.9887469099,1902.9887469099,1900.7731392948,1893.1898394478417
2023-05-05 11:00:00,1903.2335982993,1911.3618035246,1912.8186342188,1903.2335982993,1895.6127679914096
2023-05-05 12:00:00,1911.5493888342,1907.3549267977,1918.5571205203,1894.8819847086,1897.1783891655816
2023-05-05 13:00:00,1907.3558310804,1931.2503368344,1932.5895798033,1902.254371825,1901.7213155214242
2023-05-05 14:00:00,1931.2503368344,1947.1944012934,1953.4386541144,1931.2503368344,1907.7843936243544
2023-05-05 15:00:00,1947.1944012934,1953.1030485966,1953.4509962765,1943.1497082229,1913.8268809539873
2023-05-05 16:00:00,1953.3391388235,1990.5819792236,2005.2157656006,1953.3391388235,1924.0608940566024
2023-05-05 17:00:00,1991.0627896753,1993.3316603936,1994.7784719717,1989.2564699809,1933.2969962348689
2023-05-05 18:00:00,1993.133764056,1980.2997093515,1995.1808557283,1973.5641486887,1939.5640246504197
2023-05-05 19:00:00,1979.824406327,1990.5506389346,1990.5506389346,1977.7202869781,1946.3622398883103
2023-05-05 20:00:00,1990.9962475694,1990.6686867106,1993.0188624418,1987.8229642086,1952.2697661312825
2023-05-05 21:00:00,1990.8408973701,1987.9334630862,1991.2228182019,1987.5228557142,1957.0249257252717
2023-05-05 22:00:00,1988.157968033,1990.9252102092,1990.9252102092,1988.157968033,1961.5449636564622
2023-05-05 23:00:00,1991.2537080069,1993.9739093948,1995.983276667,1991.2537080069,1965.8688230882406
2023-05-06 00:00:00,1994.1272438815,2004.2556938498,2013.9876735985,1994.1272438815,1970.9870725231153
2023-05-06 01:00:00,2004.0657879506,1984.5643290966,2004.0657879506,1984.5643290966,1972.79737339958
2023-05-06 02:00:00,1984.4532008371,1980.5099066828,1984.4532008371,1977.8014519013,1973.825711170676
2023-05-06 03:00:00,1980.5099066828,1970.9389959965,1980.5099066828,1967.7993342401,1973.440815814119
2023-05-06 04:00:00,1970.7916141881,1967.6959362833,1970.9697380594,1966.2160273244,1972.6748318766768
2023-05-06 05:00:00,1967.6959362833,1963.1561253822,1967.6959362833,1962.625593294,1971.4056710107466
2023-05-06 06:00:00,1963.0096433247,1962.9435689604,1964.1060104298,1959.7852552906,1970.277390737367
2023-05-06 07:00:00,1962.9668115787,1961.1092900431,1964.33510095,1961.1092900431,1969.0549773114649
2023-05-06 08:00:00,1961.1092900431,1943.7861581607,1961.1092900431,1936.7557875789,1965.6858014246961
2023-05-06 09:00:00,1943.7271616707,1935.9704223303,1943.7271616707,1928.9745293943,1961.7237508787766
2023-05-06 10:00:00,1935.0348256244,1930.604398426,1935.7630239759,1926.5563743611,1957.5745038850732
2023-05-06 11:00:00,1930.4846856871,1935.8658109966,1935.8658109966,1930.2097959457,1954.6800114999435
2023-05-06 12:00:00,1935.7143142113,1912.7635744468,1935.7143142113,1910.0534623346,1949.091153226191
2023-05-06 13:00:00,1912.687282299,1904.0678473366,1912.687282299,1901.7511803355,1943.0880457742455
2023-05-06 14:00:00,1903.9413996777,1879.8287021303,1903.9414756497,1876.5113745512,1934.6534666217194
2023-05-06 15:00:00,1879.4879792247,1881.4653321916,1884.3168572597,1872.152647686,1927.5617153643702
2023-05-06 16:00:00,1881.4046269128,1882.9977717329,1884.3321788491,1866.590305501,1921.6198562135075
2023-05-06 17:00:00,1882.9986569732,1884.9752230556,1888.4674460571,1882.4175085245,1916.7339051257868
2023-05-06 18:00:00,1885.012902753,1903.5775478823,1903.6532403077,1885.012902753,1914.9797241599888
2023-05-06 19:00:00,1903.6465689752,1902.5866469917,1906.0945287167,1901.2860852476,1913.3273138708837
2023-05-06 20:00:00,1902.4604128414,1898.5957059201,1902.4604128414,1898.3622056069,1911.363099477446
2023-05-06 21:00:00,1898.8348609506,1897.6833557854,1898.8348609506,1888.843641037,1909.5391336518398
2023-05-06 22:00:00,1897.5953299141,1896.9305324537,1897.8602077297,1896.8676936175,1907.8579868254212
2023-05-06 23:00:00,1897.1437585334,1898.5453245012,1899.1330200241,1897.1437585334,1906.6162985155252
2023-05-07 00:00:00,1898.5704970794,1908.0990999283,1908.1041997745,1898.2801558717,1906.814005370562
2023-05-07 01:00:00,1907.9294310261,1902.7542199773,1919.0143538851,1900.0729137824,1906.2727006514606
2023-05-07 02:00:00,1902.9749839598,1895.3076476399,1904.5818160598,1894.5258876111,1904.8106935832525
2023-05-07 03:00:00,1895.4879958369,1894.8127279339,1895.5205479612,1892.9489724604,1903.4776314966723
2023-05-07 04:00:00,1894.9698101039,1895.6487920243,1895.6487920243,1894.9027729032,1902.4337862336893
2023-05-07 05:00:00,1895.6487920243,1902.9561917308,1903.424803311,1895.6487920243,1902.5034402999709
2023-05-07 06:00:00,1902.8012894118,1903.2372517827,1903.2372517827,1901.5334875638,1902.6012818310014
2023-05-07 07:00:00,1903.7153580522,1907.7676293851,1908.5827356708,1903.7153580522,1903.2901281715478
2023-05-07 08:00:00,1908.0440711017,1907.191870753,1912.6041459871,1907.191870753,1903.8103605157414
2023-05-07 09:00:00,1907.191870753,1906.7782528371,1911.0140673552,1903.5010596042,1904.2060794919228
2023-05-07 10:00:00,1906.6530156959,1908.4110841329,1908.4110841329,1904.4492265074,1904.7667467773863
2023-05-07 11:00:00,1909.0257462677,1905.5044105575,1909.0257462677,1901.4371172834,1904.865101948068
2023-05-07 12:00:00,1905.5044105575,1913.3004615574,1914.8154347518,1905.5044105575,1905.9898165626457
2023-05-07 13:00:00,1913.46430848,1916.0240091757,1922.1987160283,1913.46430848,1907.3277089110532
2023-05-07 14:00:00,1916.0240091757,1931.4612333034,1933.9215903944,1913.6984319393,1910.545512163366
2023-05-07 15:00:00,1931.2017256242,1921.8335382155,1931.2017256242,1919.8518852744,1912.0505823036508
2023-05-07 16:00:00,1922.5631006912,1915.2262772415,1922.5631006912,1911.7554654076,1912.4740082953642
2023-05-07 17:00:00,1915.3963976125,1915.190807754,1923.5343729238,1915.1621553221,1912.8362482231823
2023-05-07 18:00:00,1915.191066667,1914.5725936973,1917.5658687561,1914.5725936973,1913.0677609530646
2023-05-07 19:00:00,1914.2567233951,1915.9465241271,1915.9465241271,1909.1877378736,1913.4515960429362
2023-05-07 20:00:00,1915.9448190812,1918.6275952085,1918.6275952085,1915.9448190812,1914.1417292650115
2023-05-07 21:00:00,1918.4771194547,1911.9966107326,1922.2356624169,1911.9966107326,1913.85571346069
2023-05-07 22:00:00,1911.8375170927,1912.6424616342,1916.5470569186,1906.7841768708,1913.6939465504913
2023-05-07 23:00:00,1912.6424616342,1875.1922181146,1913.7497220513,1875.1922181146,1908.5603827590392
2023-05-08 00:00:00,1874.7634185204,1883.3384058924,1884.6018966586,1869.025289743,1905.1974525101539
2023-05-08 01:00:00,1883.3384058924,1854.5897983902,1883.3858051888,1831.8672889298,1898.44976529416
2023-05-08 02:00:00,1854.2191221001,1861.3176929929,1861.3467958727,1851.7632142433,1893.4988223206587
2023-05-08 03:00:00,1861.3176929929,1868.3287359483,1868.6265811225,1855.7790991724,1890.1428108043442
2023-05-08 04:00:00,1868.3286607578,1862.3880792967,1869.4627234089,1862.3880792967,1886.4421799366582
