TS,open,close,high,low,EMA
2023-05-04 18:20:00,1875.979748793,1873.723392526,1876.7313482702,1873.6579342444,1873.723392526
2023-05-04 18:25:00,1873.7887740579,1873.7887740579,1873.7887740579,1873.7887740579,1873.7321100635866
2023-05-04 18:30:00,1873.5147128786,1870.5080458865,1873.5147128786,1870.3706394364,1873.3022348399752
2023-05-04 18:35:00,1870.7251563429,1873.9189702403,1873.9189702403,1870.7251563429,1873.3844662266852
2023-05-04 18:40:00,1873.7300716713,1872.4011243097,1873.7300716713,1872.4011243097,1873.253353971087
2023-05-04 18:45:00,1871.739057662,1872.4011243097,1872.4011243097,1871.739057662,1873.1397233495688
2023-05-04 18:50:00,1872.4011243097,1871.96244476,1872.4011243097,1871.3811031979,1872.9827528709598
2023-05-04 19:00:00,1872.0687763418,1873.0582469447,1873.1524916382,1872.0687763418,1872.9928187474584
2023-05-04 19:10:00,1873.0493543307,1872.3821688197,1873.0493543307,1872.3821688197,1872.9113987570906
2023-05-04 19:15:00,1872.2527020582,1869.0849886674,1872.2527020582,1869.0165488903,1872.401210745132
2023-05-04 19:20:00,1869.3016855943,1871.8024958754,1871.8024958754,1869.3016855943,1872.3213820958345
2023-05-04 19:25:00,1871.8024958754,1872.8214715695,1872.8214715695,1871.797916161,1872.3880606923233
2023-05-04 19:30:00,1872.8214715695,1875.917880859,1875.917880859,1872.8214715695,1872.8587033812137
2023-05-04 19:35:00,1875.917880859,1875.917880859,1875.917880859,1875.917880859,1873.2665937115853
2023-05-04 19:50:00,1875.917880859,1875.917880859,1875.917880859,1875.917880859,1873.620098664574
2023-05-04 20:05:00,1875.7284596343,1875.7284596343,1875.7284596343,1875.7284596343,1873.9012134605375
2023-05-04 20:25:00,1875.9926977583,1877.2984643405,1877.2984643405,1875.9926977583,1874.3541802445325
2023-05-04 20:30:00,1877.4446631986,1877.2982345876,1877.6779676696,1877.0290712011,1874.7467208236083
2023-05-04 20:35:00,1877.3311054253,1877.3639964023,1877.3639964023,1877.3311054253,1875.095690900767
2023-05-04 21:05:00,1877.5720857226,1877.9007182547,1877.9007182547,1877.5720857226,1875.4696945479582
2023-05-04 21:15:00,1877.7840057636,1876.926408371,1877.7840057636,1876.926408371,1875.663923057697
2023-05-04 21:20:00,1876.780817346,1873.594469913,1876.780817346,1873.5256400998,1875.3879959717376
2023-05-04 21:45:00,1873.784022926,1873.784022926,1873.784022926,1873.784022926,1875.1741328989726
2023-05-04 21:50:00,1873.9731603512,1874.1623264149,1874.1623264149,1873.9731603512,1875.039225367763
2023-05-04 21:55:00,1874.3515211228,1875.3188273077,1875.3188273077,1874.3515211228,1875.0765056264215
2023-05-04 22:00:00,1875.4647800557,1875.4647800557,1875.4647800557,1875.4647800557,1875.1282755503255
